5240951	ita	Vediamo come si risolvono le cose.
5241033	ita	Penso che venga dall'Austria.
5241034	ita	Io penso che venga dall'Austria.
5241036	ita	Penso che lei venga dall'Austria.
5241037	ita	Io penso che lei venga dall'Austria.
5241040	ita	Ti tengo aggiornato?
5241042	ita	Il politico accetta un'udienza mercoledì.
5241663	ita	Dov'era il gatto nero?
5241664	ita	Dove sarà la gatta nera?
5241675	ita	Gli alberi sono alti.
5241676	ita	Gli alberi sono grandi.
5241678	ita	Dio ti ama.
5241680	ita	Ti amiamo.
5241681	ita	Noi ti amiamo.
5241708	ita	Devo imparare.
5241709	ita	Io devo imparare.
5241784	ita	Ecco le ossa per il cane.
5241796	ita	I bambini sono molto curiosi e fanno molte domande.
5241928	ita	È vero che i babbuini attaccano gli umani?
5241970	ita	Abbiamo comprato due pacchetti di pistacchi.
5241973	ita	Noi abbiamo comprato due pacchetti di pistacchi.
5241978	ita	Ha l'argento vivo addosso.
5241979	ita	Lui ha l'argento vivo addosso.
5241987	ita	Non ho mai volato in prima classe.
5241988	ita	Io non ho mai volato in prima classe.
5242011	ita	Tom ha lavorato per settimane su quel progetto.
5242012	ita	Tom lavorò per settimane su quel progetto.
5242048	ita	È imprevedibile.
5242049	ita	Lui è imprevedibile.
5242056	ita	Il signor Old è molto apprezzato tra gli anziani.
5242057	ita	Vorrei che ci fossero meno compiti.
5242058	ita	Io vorrei che ci fossero meno compiti.
5242059	ita	Tom è l'unica persona che si è lamentata.
5242065	ita	Abbiamo una quota di maggioranza nella società.
5242066	ita	Noi abbiamo una quota di maggioranza nella società.
5242118	ita	Giuseppe è in giardino.
5242176	ita	Il mio vicino è un carpentiere.
5242237	ita	Oggi è il compleanno di mia zia.
5242262	ita	Mary non ha ancora pitturato la sua stanza.
5243428	ita	Il nuovo allenatore ha migliorato la qualità della squadra?
5243482	ita	Vado oggi pomeriggio.
5243516	ita	Thomas mangia come un maiale.
5243666	ita	La primavera è una bella stagione.
5243729	ita	Esce raramente la domenica.
5243730	ita	Lui esce raramente la domenica.
5243737	ita	Perché non ho un amico del genere?
5243869	ita	Quando sedete di fronte a qualcuno che si mostra amabile, deferente, cortese, è molto difficile tenere sempre a mente che nulla di ciò che dice è vero, che nulla è sincero.
5244210	ita	È uno zuccone.
5244211	ita	Lui è uno zuccone.
5244213	ita	È tonto.
5244214	ita	Lui è tonto.
5244216	ita	È fesso.
5244217	ita	Lui è fesso.
5244270	ita	È stata malata a letto per una settimana.
5244271	ita	Lei è stata malata a letto per una settimana.
5244274	ita	Un vento freddo soffiava.
5244275	ita	Sono un intermediario che introduce gli affari.
5244276	ita	Io sono un intermediario che introduce gli affari.
5244280	ita	La collega il cui marito è francese è andata a Parigi.
5244282	ita	Sono un buon cristiano.
5244283	ita	Io sono un buon cristiano.
5244284	ita	Sono una buona cristiana.
5244286	ita	Io sono una buona cristiana.
5244296	ita	Rosa Parks si rifiutò di cedere il suo posto a un passeggero bianco.
5244298	ita	Rosa Parks si è rifiutata di cedere il suo posto a un passeggero bianco.
5244337	ita	I cani stanno andando nella stessa direzione.
5244339	ita	Tom era un accanito fumatore.
5244344	ita	Cosa stava facendo Tom quaggiù?
5244345	ita	Che cosa stava facendo Tom quaggiù?
5244347	ita	Che stava facendo Tom quaggiù?
5244360	ita	I Long vendono oggetti usati a casa loro domani.
5244366	ita	Non passerà molto tempo prima che lui si faccia vivo.
5244367	ita	Non passerà molto tempo prima che si faccia vivo.
5244369	ita	Non ci vorrà molto tempo prima che lui si faccia vivo.
5244370	ita	Non ci vorrà molto tempo prima che si faccia vivo.
5244372	ita	Non ci vorrà molto prima che lui si faccia vivo.
5244373	ita	Non ci vorrà molto prima che si faccia vivo.
5244377	ita	La saliera era sul tavolo.
5244379	ita	Mi passi la saliera.
5244384	ita	La saliera sarà sul tavolo.
5244395	ita	Penso che questo maglione ti starà bene addosso.
5244396	ita	Io penso che questo maglione ti starà bene addosso.
5244397	ita	Penso che questo maglione vi starà bene addosso.
5244399	ita	Io penso che questo maglione vi starà bene addosso.
5244400	ita	Penso che questo maglione le starà bene addosso.
5244401	ita	Io penso che questo maglione le starà bene addosso.
5244404	ita	La saliera è sul tavolo.
5244411	ita	Gli ho lasciato trascorrere la notte a casa mia.
5244412	ita	Gli lasciai trascorrere la notte a casa mia.
5244651	ita	Io e mia sorella andammo al castello.
5245494	ita	Allora rimani in giardino!
5245495	ita	Allora rimanga in giardino!
5245496	ita	Allora rimanete in giardino!
5245497	ita	Allora resta in giardino!
5245498	ita	Allora restate in giardino!
5245500	ita	Allora resti in giardino!
5245592	ita	In inverno nevica molto.
5245598	ita	Chi è il tuo personaggio immaginario preferito?
5245599	ita	Chi è il suo personaggio immaginario preferito?
5245600	ita	Chi è il vostro personaggio immaginario preferito?
5245633	ita	In inverno nevicava molto.
5245634	ita	In inverno ha nevicato molto.
5245692	ita	Vendevi delle mele al mercato.
5245693	ita	Tu vendevi delle mele al mercato.
5245694	ita	Vendeva delle mele al mercato.
5245696	ita	Lei vendeva delle mele al mercato.
5245697	ita	Vendevate delle mele al mercato.
5245698	ita	Voi vendevate delle mele al mercato.
5245700	ita	Hai venduto delle mele al mercato.
5245701	ita	Tu hai venduto delle mele al mercato.
5245702	ita	Ha venduto delle mele al mercato.
5245703	ita	Lei ha venduto delle mele al mercato.
5245705	ita	Avete venduto delle mele al mercato.
5245706	ita	Voi avete venduto delle mele al mercato.
